Date,New cases
01/03/2020,0
02/03/2020,0
03/03/2020,0
04/03/2020,0
05/03/2020,0
06/03/2020,0
07/03/2020,0
08/03/2020,0
09/03/2020,0
10/03/2020,0
11/03/2020,0
12/03/2020,0
13/03/2020,0
14/03/2020,0
15/03/2020,0
16/03/2020,0
17/03/2020,0
18/03/2020,0
19/03/2020,0
20/03/2020,0
21/03/2020,3
22/03/2020,1
23/03/2020,3
24/03/2020,1
25/03/2020,2
26/03/2020,1
27/03/2020,3
28/03/2020,2
29/03/2020,5
30/03/2020,4
31/03/2020,3
01/04/2020,7
02/04/2020,3
03/04/2020,3
04/04/2020,2
05/04/2020,4
06/04/2020,1
07/04/2020,2
08/04/2020,4
09/04/2020,0
10/04/2020,2
11/04/2020,0
12/04/2020,0
13/04/2020,0
14/04/2020,2
15/04/2020,0
16/04/2020,9
17/04/2020,2
18/04/2020,12
19/04/2020,7
20/04/2020,1
21/04/2020,29
22/04/2020,1
23/04/2020,14
24/04/2020,5
25/04/2020,0
26/04/2020,3
27/04/2020,16
28/04/2020,1
29/04/2020,16
30/04/2020,4
01/05/2020,36
02/05/2020,52
03/05/2020,12
04/05/2020,19
05/05/2020,10
06/05/2020,9
07/05/2020,0
08/05/2020,20
09/05/2020,7
10/05/2020,13
11/05/2020,3
12/05/2020,1
13/05/2020,10
14/05/2020,9
15/05/2020,7
16/05/2020,11
17/05/2020,21
18/05/2020,4
19/05/2020,5
20/05/2020,8
21/05/2020,11
22/05/2020,1
23/05/2020,22
24/05/2020,36
25/05/2020,14
26/05/2020,0
27/05/2020,0
28/05/2020,16
29/05/2020,29
30/05/2020,52
31/05/2020,44
01/06/2020,14
02/06/2020,13
03/06/2020,76
04/06/2020,29
05/06/2020,70
06/06/2020,50
07/06/2020,40
08/06/2020,34
09/06/2020,26
10/06/2020,85
11/06/2020,0
12/06/2020,65
13/06/2020,50
14/06/2020,35
15/06/2020,17
16/06/2020,60
17/06/2020,67
18/06/2020,60
19/06/2020,38
20/06/2020,60
21/06/2020,18
22/06/2020,16
23/06/2020,22
24/06/2020,17
25/06/2020,34
26/06/2020,20
27/06/2020,60
28/06/2020,56
29/06/2020,26
30/06/2020,52
01/07/2020,65
02/07/2020,85
03/07/2020,60
04/07/2020,73
05/07/2020,28
06/07/2020,100
07/07/2020,41
08/07/2020,26
09/07/2020,17
10/07/2020,68
11/07/2020,105
12/07/2020,38
13/07/2020,99
14/07/2020,12
15/07/2020,51
16/07/2020,23
17/07/2020,118
18/07/2020,78
19/07/2020,70
20/07/2020,102
21/07/2020,82
22/07/2020,86
23/07/2020,79
24/07/2020,61
25/07/2020,14
26/07/2020,30
27/07/2020,44
28/07/2020,35
29/07/2020,54
30/07/2020,96
31/07/2020,93
01/08/2020,130
02/08/2020,39
03/08/2020,25
04/08/2020,90
05/08/2020,76
06/08/2020,78
07/08/2020,60
08/08/2020,75
09/08/2020,91
10/08/2020,18
11/08/2020,40
12/08/2020,72
13/08/2020,35
14/08/2020,33
15/08/2020,49
16/08/2020,15
17/08/2020,1
18/08/2020,45
19/08/2020,62
20/08/2020,44
21/08/2020,51
22/08/2020,37
23/08/2020,25
24/08/2020,34
25/08/2020,18
26/08/2020,33
27/08/2020,15
28/08/2020,14
29/08/2020,41
30/08/2020,7
31/08/2020,13
01/09/2020,33
02/09/2020,11
03/09/2020,25
04/09/2020,35
05/09/2020,6
06/09/2020,22
07/09/2020,0
08/09/2020,25
09/09/2020,40
10/09/2020,16
11/09/2020,14
12/09/2020,39
13/09/2020,3
14/09/2020,0
15/09/2020,4
16/09/2020,37
17/09/2020,16
18/09/2020,22
19/09/2020,24
20/09/2020,1
21/09/2020,15
22/09/2020,17
23/09/2020,15
24/09/2020,17
25/09/2020,29
26/09/2020,0
27/09/2020,30
28/09/2020,3
29/09/2020,19
30/09/2020,13
01/10/2020,11
02/10/2020,7
03/10/2020,18
04/10/2020,1
05/10/2020,12
06/10/2020,0
07/10/2020,7
08/10/2020,19
09/10/2020,6
10/10/2020,15
11/10/2020,1
12/10/2020,26
13/10/2020,17
14/10/2020,9
15/10/2020,25
16/10/2020,21
17/10/2020,6
18/10/2020,8
19/10/2020,5
20/10/2020,12
21/10/2020,8
22/10/2020,1
23/10/2020,4
24/10/2020,13
25/10/2020,6
26/10/2020,26
27/10/2020,15
28/10/2020,20
29/10/2020,0
30/10/2020,25
31/10/2020,35
01/11/2020,30
02/11/2020,6
03/11/2020,18
04/11/2020,23
05/11/2020,12
06/11/2020,35
07/11/2020,0
08/11/2020,27
09/11/2020,24
10/11/2020,21
11/11/2020,19
12/11/2020,19

